File,Lines,Words,KeywordMatches
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.ContextRuleMonitorService.0.1.BrokeredService.SZNT.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredClient.BKBF.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Extensibility.ExtensionMetadataService.0.3.BrokeredService.CNFL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredClient.TUIN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Extensibility.ExtensionResourceDictionaryService.0.1.BrokeredService.XOMF.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.FileSystem.1.4.BrokeredClient.EZFE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.FileSystem.1.4.BrokeredService.DFTZ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.GlobalBrokeredServiceContainer.FPGG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Platform.WindowManagement.RemoteWindowManager.DPBN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.RpcContracts.Extensibility.IExtensionMetadataService.WQHE.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.RpcContracts.IStringResourceDictionary.QAWL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Services.LogHubReaperService.HNAN.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredClient.WQDX.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.DiagnosticViewerService.1.0.BrokeredService.JCGY.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredClient.PFUL.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.OutputChannelStore.0.1.BrokeredService.LJQR.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredClient.WMPS.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.Shell.SettingsManager.1.0.BrokeredService.QQOA.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TaskStatusCenter.BrokeredClient.BXTC.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TaskStatusCenter.BrokeredService.KLDJ.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredClient.LVHP.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubCommand.1.0.BrokeredService.TJPG.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubCommand.Core.RPCU.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredClient.DDOB.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubRegistrationService.1.0.BrokeredService.OUHW.svclog,0,0,0
C:\Users\Kirill\AppData\Local\Temp\VSLogs\VS819F441E.Microsoft.VisualStudio.TraceHubRegistrationService.Core.ATIF.svclog,0,0,0
